name	code
Australia	AUS
Austria	AUT
Belarus	BLR
Belgium	BEL
Bulgaria	BGR
Canada	CAN
Chile	CHL
Czech Republic	CZE
Denmark	DNK
Estonia	EST
Finland	FIN
France total population	FRATNP
France civilian population	FRACNP
Germany total population	DEUTNP
West Germany	DEUTW
East Germany	DEUTE
Greece	GRC
Hungary	HUN
Iceland	ISL
Ireland	IRL
Israel	ISR
Italy	ITA
Japan	JPN
Latvia	LVA
Lithuania	LTU
Luxembourg	LUX
Netherlands	NLD
NZ total population	NZL_NP
NZ Maori	NZL_MA
NZ non-Maori	NZL_NM
Norway	NOR
Poland	POL
Portugal	PRT
Russia	RUS
Slovakia	SVK
Slovenia	SVN
Spain	ESP
Sweden	SWE
Switzerland	CHE
Taiwan	TWN
UK Total Population	GBR_NP
England & Wales Total Population	GBRTENW
England & Wales Civilian Population	GBRCENW
Scotland	GBR_SCO
Northern Ireland	GBR_NIR
U.S.A.	USA
Ukraine	UKR
